instance,bklb
Large_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,678.0
Large_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,732.0
Large_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,651.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,443.0
Medium_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,492.0
Medium_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,405.0
Small_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,237.0
Small_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,248.0
Small_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,226.0
Huge_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,1623.0
Huge_Moderate_Light_High_Moderate_Few_Early_VeryLate_123,1720.0
Huge_Moderate_Light_High_Moderate_Many_Early_VeryLate_123,1561.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_VeryLate_123,506.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryLate_123,593.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_Early_123,336.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,376.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,316.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,275.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,544.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,413.0
Medium_Moderate_Moderate_High_Moderate_Moderate_Early_VeryLate_123,388.0
Medium_Moderate_Strong_High_Moderate_Moderate_Early_VeryLate_123,409.0
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,480.0
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,444.0
Medium_Flat_Moderate_High_Moderate_Moderate_Early_VeryLate_123,395.0
Medium_Flat_Strong_High_Moderate_Moderate_Early_VeryLate_123,375.0
Medium_Steep_Moderate_High_Moderate_Moderate_Early_VeryLate_123,393.0
Medium_Steep_Strong_High_Moderate_Moderate_Early_VeryLate_123,327.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,621.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,728.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,313.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,673.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,215.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_Early_123,404.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_Late_123,437.0
Medium_Moderate_Light_High_Moderate_Moderate_Late_VeryEarly_123,382.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_Early_123,502.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_Late_123,522.0
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,487.0
